"REF_DATE","GEO","DGUID","Type of direct investment","Countries","Type of direct investment flows","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","21448","","","","0"
"2007-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","14066","","","","0"
"2007-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","16116","","","","0"
"2007-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","17786","","","","0"
"2008-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","31822","","","","0"
"2008-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","14307","","","","0"
"2008-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","23347","","","","0"
"2008-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","15116","","","","0"
"2009-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","5343","","","","0"
"2009-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","5293","","","","0"
"2009-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","28738","","","","0"
"2009-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","5894","","","","0"
"2010-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","-2901","","","","0"
"2010-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","9833","","","","0"
"2010-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","1161","","","","0"
"2010-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","27677","","","","0"
"2011-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","12543","","","","0"
"2011-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","3765","","","","0"
"2011-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","18799","","","","0"
"2011-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","16495","","","","0"
"2012-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","10335","","","","0"
"2012-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","5132","","","","0"
"2012-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","24936","","","","0"
"2012-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","15416","","","","0"
"2013-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","5893","","","","0"
"2013-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","9192","","","","0"
"2013-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","25215","","","","0"
"2013-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","18791","","","","0"
"2014-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","9727","","","","0"
"2014-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","8773","","","","0"
"2014-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","12780","","","","0"
"2014-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","35304","","","","0"
"2015-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","17788","","","","0"
"2015-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","35092","","","","0"
"2015-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","16779","","","","0"
"2015-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","16583","","","","0"
"2016-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","14910","","","","0"
"2016-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","15177","","","","0"
"2016-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","28434","","","","0"
"2016-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","33619","","","","0"
"2017-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","43497","","","","0"
"2017-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","20557","","","","0"
"2017-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","16891","","","","0"
"2017-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","17943","","","","0"
"2018-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","9694","","","","0"
"2018-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","19339","","","","0"
"2018-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","29197","","","","0"
"2018-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Total net flows","Dollars","81","millions","6","v61913911","1.1.1.1","16991","","","","0"
